geoid,geoName,totalPop,medianAge,medianIncome
01001,"Autauga County, Alabama",58761,39,68315
01003,"Baldwin County, Alabama",233420,43.7,71039
01005,"Barbour County, Alabama",24877,40.6,39712
01007,"Bibb County, Alabama",22251,40.3,50669
01009,"Blount County, Alabama",59077,40.8,57440
01011,"Bullock County, Alabama",10328,39.2,36136
01013,"Butler County, Alabama",18981,41.6,44429
01015,"Calhoun County, Alabama",116162,39.2,54339
01017,"Chambers County, Alabama",34612,42.2,48805
01019,"Cherokee County, Alabama",25069,46.8,46621
01021,"Chilton County, Alabama",45140,39.9,62471
01023,"Choctaw County, Alabama",12669,46.7,43299
01025,"Clarke County, Alabama",23058,42.7,47549
01027,"Clay County, Alabama",14209,43.9,48074
01029,"Cleburne County, Alabama",15144,42.2,51553
01031,"Coffee County, Alabama",53559,39.2,62199
01033,"Colbert County, Alabama",57270,42,56149
01035,"Conecuh County, Alabama",11576,46.2,39888
01037,"Coosa County, Alabama",10329,50.2,52279
01039,"Covington County, Alabama",37542,42.9,48772
01041,"Crenshaw County, Alabama",13205,42.3,48557
01043,"Cullman County, Alabama",88284,41.4,58119
01045,"Dale County, Alabama",49455,37.7,52813
01047,"Dallas County, Alabama",38326,40.4,37180
01049,"DeKalb County, Alabama",71680,39.6,47920
01051,"Elmore County, Alabama",87694,38.9,73258
01053,"Escambia County, Alabama",36755,40.5,41153
01055,"Etowah County, Alabama",103348,41.9,52177
01057,"Fayette County, Alabama",16297,43.7,45650
01059,"Franklin County, Alabama",32011,39.3,47359
01061,"Geneva County, Alabama",26647,43.6,47608
01063,"Greene County, Alabama",7706,41.1,32796
01065,"Hale County, Alabama",14742,40.5,35851
01067,"Henry County, Alabama",17282,44.6,58395
01069,"Houston County, Alabama",107040,40.4,55064
01071,"Jackson County, Alabama",52618,43,46748
01073,"Jefferson County, Alabama",672265,37.9,63595
01075,"Lamar County, Alabama",13885,44.2,49565
01077,"Lauderdale County, Alabama",94329,40.8,56081
01079,"Lawrence County, Alabama",33116,42.7,54786
01081,"Lee County, Alabama",175126,33,59288
01083,"Limestone County, Alabama",104199,40.2,80146
01085,"Lowndes County, Alabama",10153,41.7,33125
01087,"Macon County, Alabama",19198,37.8,41206
01089,"Madison County, Alabama",389781,38.5,78058
01091,"Marengo County, Alabama",19180,41.7,42975
01093,"Marion County, Alabama",29203,44,49743
01095,"Marshall County, Alabama",97923,38.8,58272
01097,"Mobile County, Alabama",413878,38.2,55352
01099,"Monroe County, Alabama",19816,43.7,39965
01101,"Montgomery County, Alabama",228132,36.9,56707
01103,"Morgan County, Alabama",123102,40.6,61588
01105,"Perry County, Alabama",8479,41.8,32332
01107,"Pickens County, Alabama",18925,42.9,45339
01109,"Pike County, Alabama",32997,31.1,42616
01111,"Randolph County, Alabama",22179,44.1,49879
01113,"Russell County, Alabama",58849,37.2,47420
01115,"St. Clair County, Alabama",91719,41,73218
01117,"Shelby County, Alabama",223916,40,90618
01119,"Sumter County, Alabama",12196,35.8,31726
01121,"Talladega County, Alabama",81105,42.1,52457
01123,"Tallapoosa County, Alabama",41251,45.2,53282
01125,"Tuscaloosa County, Alabama",231558,32.8,61645
01127,"Walker County, Alabama",64978,41.8,52987
01129,"Washington County, Alabama",15434,43.7,51184
01131,"Wilcox County, Alabama",10441,41.1,38208
01133,"Winston County, Alabama",23655,45.4,49494
02013,"Aleutians East Borough, Alaska",3407,41.6,79961
02016,"Aleutians West Census Area, Alaska",5219,39.2,100662
02020,"Anchorage Municipality, Alaska",290674,34.5,95731
02050,"Bethel Census Area, Alaska",18538,28.7,64094
02060,"Bristol Bay Borough, Alaska",854,36.4,94167
02063,"Chugach Census Area, Alaska",7000,37.8,83068
02066,"Copper River Census Area, Alaska",2614,43.1,70606
02068,"Denali Borough, Alaska",2101,44.4,87292
02070,"Dillingham Census Area, Alaska",4854,30.7,69412
02090,"Fairbanks North Star Borough, Alaska",96299,32.1,81655
02100,"Haines Borough, Alaska",2079,46.2,68276
02105,"Hoonah-Angoon Census Area, Alaska",2329,50,62344
02110,"Juneau City and Borough, Alaska",32108,39,95711
02122,"Kenai Peninsula Borough, Alaska",59235,41.2,76272
02130,"Ketchikan Gateway Borough, Alaska",13910,40.6,82763
02150,"Kodiak Island Borough, Alaska",13065,35.1,91138
02158,"Kusilvak Census Area, Alaska",8372,23.7,42663
02164,"Lake and Peninsula Borough, Alaska",999,33.6,61607
02170,"Matanuska-Susitna Borough, Alaska",108661,36.3,86435
02180,"Nome Census Area, Alaska",10018,29.1,70121
02185,"North Slope Borough, Alaska",10924,36.3,83472
02188,"Northwest Arctic Borough, Alaska",7682,29.2,77647
02195,"Petersburg Borough, Alaska",3374,50.1,77826
02198,"Prince of Wales-Hyder Census Area, Alaska",5799,43.1,61779
02220,"Sitka City and Borough, Alaska",8462,39.5,95261
02230,"Skagway Municipality, Alaska",1303,38.6,79583
02240,"Southeast Fairbanks Census Area, Alaska",6888,36.9,75378
02275,"Wrangell City and Borough, Alaska",2134,48.9,61000
02282,"Yakutat City and Borough, Alaska",564,41.3,76875
02290,"Yukon-Koyukuk Census Area, Alaska",5355,35.8,47826
04001,"Apache County, Arizona",66054,35.6,37483
04003,"Cochise County, Arizona",125504,41.4,58421
04005,"Coconino County, Arizona",144705,31.7,67266
04007,"Gila County, Arizona",53419,50.6,55242
04009,"Graham County, Arizona",38453,34.1,64089
04011,"Greenlee County, Arizona",9483,35.5,73756
04012,"La Paz County, Arizona",16681,57.3,46634
04013,"Maricopa County, Arizona",4430871,37.1,80675
04015,"Mohave County, Arizona",214229,52.9,53592
04017,"Navajo County, Arizona",107110,38.7,50335
04019,"Pima County, Arizona",1042393,39,64323
04021,"Pinal County, Arizona",433338,39.8,73313
04023,"Santa Cruz County, Arizona",47838,37.3,51885
04025,"Yavapai County, Arizona",237830,54.5,62430
04027,"Yuma County, Arizona",204374,35.3,56439
05001,"Arkansas County, Arkansas",17024,41.4,58695
05003,"Ashley County, Arkansas",19018,43.1,44804
05005,"Baxter County, Arkansas",41801,52.1,47403
05007,"Benton County, Arkansas",286528,35.7,85269
05009,"Boone County, Arkansas",37662,41.9,52275
05011,"Bradley County, Arkansas",10461,40.2,43688
05013,"Calhoun County, Arkansas",4773,44.2,60237
05015,"Carroll County, Arkansas",28362,44.6,56826
05017,"Chicot County, Arkansas",10234,43.2,36593
05019,"Clark County, Arkansas",21469,31.7,48071
05021,"Clay County, Arkansas",14537,42.7,44685
05023,"Cleburne County, Arkansas",24948,49.5,52780
05025,"Cleveland County, Arkansas",7548,42.5,48913
05027,"Columbia County, Arkansas",22707,35.1,47441
05029,"Conway County, Arkansas",20782,42.2,50282
05031,"Craighead County, Arkansas",111038,34.4,55169
05033,"Crawford County, Arkansas",60593,39.2,56702
05035,"Crittenden County, Arkansas",47945,35.8,51860
05037,"Cross County, Arkansas",16827,40.7,48129
05039,"Dallas County, Arkansas",6472,45.8,40085
05041,"Desha County, Arkansas",11285,40.7,38067
05043,"Drew County, Arkansas",17309,37.5,44968
05045,"Faulkner County, Arkansas",124611,33.8,61273
05047,"Franklin County, Arkansas",17160,42.5,47695
05049,"Fulton County, Arkansas",12183,47.4,38917
05051,"Garland County, Arkansas",100021,45.4,54229
05053,"Grant County, Arkansas",18022,40.2,68598
05055,"Greene County, Arkansas",45954,37.8,54879
05057,"Hempstead County, Arkansas",20037,40.4,45049
05059,"Hot Spring County, Arkansas",33129,42.6,50260
05061,"Howard County, Arkansas",12779,39.7,44824
05063,"Independence County, Arkansas",37910,39.1,52361
05065,"Izard County, Arkansas",13748,47.7,46159
05067,"Jackson County, Arkansas",16784,40.2,41929
05069,"Jefferson County, Arkansas",66934,39.5,46855
05071,"Johnson County, Arkansas",25925,39,42470
05073,"Lafayette County, Arkansas",6277,48.3,40262
05075,"Lawrence County, Arkansas",16258,39.8,43606
05077,"Lee County, Arkansas",8666,41.6,33801
05079,"Lincoln County, Arkansas",13016,40.6,50526
05081,"Little River County, Arkansas",12024,42.3,58627
05083,"Logan County, Arkansas",21247,43.5,51131
05085,"Lonoke County, Arkansas",74292,37,68078
05087,"Madison County, Arkansas",16737,41.1,51514
05089,"Marion County, Arkansas",16905,51.7,42891
05091,"Miller County, Arkansas",42682,39.9,47613
05093,"Mississippi County, Arkansas",40361,37,50012
05095,"Monroe County, Arkansas",6787,45.8,41786
05097,"Montgomery County, Arkansas",8555,50.5,47103
05099,"Nevada County, Arkansas",8292,44.7,43421
05101,"Newton County, Arkansas",7243,48.7,50699
05103,"Ouachita County, Arkansas",22606,43.9,47348
05105,"Perry County, Arkansas",10055,44,53980
05107,"Phillips County, Arkansas",16373,39.7,37458
05109,"Pike County, Arkansas",10205,43.3,49248
05111,"Poinsett County, Arkansas",22997,39.9,43440
05113,"Polk County, Arkansas",19384,44.4,48449
05115,"Pope County, Arkansas",63475,36.7,51678
05117,"Prairie County, Arkansas",8217,46.5,47045
05119,"Pulaski County, Arkansas",398322,37.7,58326
05121,"Randolph County, Arkansas",18619,39.1,45993
05123,"St. Francis County, Arkansas",23138,38.8,39822
05125,"Saline County, Arkansas",123988,40.3,73236
05127,"Scott County, Arkansas",9871,42.8,45340
05129,"Searcy County, Arkansas",7880,46.9,42063
05131,"Sebastian County, Arkansas",128184,38,54047
05133,"Sevier County, Arkansas",15913,34.9,53567
05135,"Sharp County, Arkansas",17422,47.4,43332
05137,"Stone County, Arkansas",12393,49.5,37664
05139,"Union County, Arkansas",38815,41.3,49745
05141,"Van Buren County, Arkansas",15900,49.7,45768
05143,"Washington County, Arkansas",247331,32.3,61985
05145,"White County, Arkansas",77118,38.3,51144
05147,"Woodruff County, Arkansas",6259,45.2,49608
05149,"Yell County, Arkansas",20342,40,55879
06001,"Alameda County, California",1663823,38.4,122488
06003,"Alpine County, California",1515,43,101125
06005,"Amador County, California",40577,49.6,74853
06007,"Butte County, California",213605,36.5,66085
06009,"Calaveras County, California",45674,52.1,77526
06011,"Colusa County, California",21811,36,69619
06013,"Contra Costa County, California",1162648,40.1,120020
06015,"Del Norte County, California",27462,40,61149
06017,"El Dorado County, California",191713,46.2,99246
06019,"Fresno County, California",1008280,32.8,67756
06021,"Glenn County, California",28657,35.8,64033
06023,"Humboldt County, California",136132,39.5,57881
06025,"Imperial County, California",179578,32.6,53847
06027,"Inyo County, California",18829,44.6,63417
06029,"Kern County, California",906883,32.2,63883
06031,"Kings County, California",152515,32.1,68540
06033,"Lake County, California",68024,44.5,56259
06035,"Lassen County, California",31873,37.2,59515
06037,"Los Angeles County, California",9936690,37.4,83411
06039,"Madera County, California",157243,34.4,73543
06041,"Marin County, California",260485,47.4,142019
06043,"Mariposa County, California",17130,51.6,60021
06045,"Mendocino County, California",91145,43.7,61335
06047,"Merced County, California",282290,31.5,64772
06049,"Modoc County, California",8651,47.5,54962
06051,"Mono County, California",13219,40.5,82038
06053,"Monterey County, California",437609,35.1,91043
06055,"Napa County, California",137384,42.5,105809
06057,"Nevada County, California",102322,50.2,79395
06059,"Orange County, California",3175227,38.7,109361
06061,"Placer County, California",406608,42.3,109375
06063,"Plumas County, California",19650,52.3,67885
06065,"Riverside County, California",2429487,36.3,84505
06067,"Sacramento County, California",1579211,36.8,84010
06069,"San Benito County, California",64753,35.7,104451
06071,"San Bernardino County, California",2180563,33.9,77423
06073,"San Diego County, California",3289701,36.7,96974
06075,"San Francisco County, California",851036,39.3,136689
06077,"San Joaquin County, California",779445,34.8,82837
06079,"San Luis Obispo County, California",281712,40,90158
06081,"San Mateo County, California",754250,40.3,149907
06083,"Santa Barbara County, California",445213,34.3,92332
06085,"Santa Clara County, California",1916831,37.7,153792
06087,"Santa Cruz County, California",268571,39.2,104409
06089,"Shasta County, California",181852,41.7,68347
06091,"Sierra County, California",2916,54.9,61108
06093,"Siskiyou County, California",44049,47.2,53898
06095,"Solano County, California",450995,38.8,97037
06097,"Sonoma County, California",488436,42.7,99266
06099,"Stanislaus County, California",552063,34.5,74872
06101,"Sutter County, California",99101,36,72654
06103,"Tehama County, California",65484,40.3,59029
06105,"Trinity County, California",15889,53.2,47317
06107,"Tulare County, California",473446,31.5,64474
06109,"Tuolumne County, California",54993,48.7,70432
06111,"Ventura County, California",842009,39,102141
06113,"Yolo County, California",217141,32,85097
06115,"Yuba County, California",81705,33.5,66693
08001,"Adams County, Colorado",520149,34.4,86297
08003,"Alamosa County, Colorado",16460,32.2,52271
08005,"Arapahoe County, Colorado",654453,37.1,92292
08007,"Archuleta County, Colorado",13509,50.8,66813
08009,"Baca County, Colorado",3496,42,42115
08011,"Bent County, Colorado",5561,40.7,45776
08013,"Boulder County, Colorado",328658,37,99770
08014,"Broomfield County, Colorado",73946,38.6,117541
08015,"Chaffee County, Colorado",19564,47.8,65703
08017,"Cheyenne County, Colorado",1726,43.2,65577
08019,"Clear Creek County, Colorado",9403,49.5,87169
08021,"Conejos County, Colorado",7553,39.1,44093
